second	Volt1	Volt2	clean	background	clean-back	dR/dN
-3.69E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.69E-02	1.94E+00	-1.67E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.68E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.68E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.67E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.67E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.66E-02	1.94E+00	-2.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.66E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.65E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.65E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.64E-02	1.94E+00	-2.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.64E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.63E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.63E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.62E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.62E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.61E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.61E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.60E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.60E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.59E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.59E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.58E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.58E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.57E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.57E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.56E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.56E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.55E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.55E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.54E-02	1.94E+00	-2.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.54E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.53E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.53E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.52E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.52E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.51E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.51E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
