second,Volt1,Volt2
-29.80000E-03,+54.60804021E+00,+25.86814052E+00
-29.75000E-03,+55.81407037E+00,+29.08422095E+00
-29.70000E-03,+57.22110556E+00,+31.49628127E+00
-29.65000E-03,+58.22613069E+00,+33.10432148E+00
-29.60000E-03,+59.43216085E+00,+33.90834159E+00
-29.55000E-03,+60.73869353E+00,+33.90834159E+00
-29.50000E-03,+62.24623123E+00,+34.31035164E+00
-29.45000E-03,+64.15577898E+00,+32.90331645E+00
-29.40000E-03,+65.86432171E+00,+33.10432148E+00
-29.35000E-03,+67.77386946E+00,+31.49628127E+00
-29.30000E-03,+69.48241219E+00,+30.29025111E+00
-29.25000E-03,+70.98994989E+00,+30.69226116E+00
-29.20000E-03,+72.69849262E+00,+31.49628127E+00
-29.15000E-03,+74.30653283E+00,+33.10432148E+00
-29.10000E-03,+75.91457304E+00,+34.71236169E+00
-29.05000E-03,+77.52261326E+00,+37.32542704E+00
-29.00000E-03,+79.13065347E+00,+38.73246223E+00
-28.95000E-03,+80.43718614E+00,+41.34552757E+00
-28.90000E-03,+82.14572887E+00,+43.15457281E+00
-28.85000E-03,+83.55276406E+00,+43.35557784E+00
-28.80000E-03,+83.95477411E+00,+44.36060297E+00
-28.75000E-03,+84.75879422E+00,+43.55658287E+00
-28.70000E-03,+85.16080427E+00,+43.95859292E+00
-28.65000E-03,+86.26633192E+00,+43.55658287E+00
-28.60000E-03,+86.36683443E+00,+43.55658287E+00
-28.55000E-03,+87.57286459E+00,+43.75758790E+00
-28.50000E-03,+87.37185957E+00,+43.15457281E+00
-28.45000E-03,+88.37688470E+00,+43.75758789E+00
-28.40000E-03,+88.77889475E+00,+44.36060297E+00
-28.35000E-03,+88.77889475E+00,+45.16462308E+00
-28.30000E-03,+89.38190983E+00,+44.36060297E+00
-28.25000E-03,+88.97989978E+00,+45.56663314E+00
-28.20000E-03,+88.77889475E+00,+45.96864319E+00
-28.15000E-03,+89.08040229E+00,+45.36562811E+00
-28.10000E-03,+89.58291486E+00,+45.56663314E+00
-28.05000E-03,+89.48241235E+00,+45.76763816E+00
-28.00000E-03,+89.58291486E+00,+45.96864319E+00
-27.95000E-03,+89.68341737E+00,+45.96864319E+00
-27.90000E-03,+89.98492491E+00,+46.77266330E+00
-27.85000E-03,+89.98492491E+00,+46.77266330E+00
